Adorable
Adventurous
Aggressive
Agreeable
Alert
Alive
Amused
Angry
Annoyed
Annoying
Anxious
Arrogant
Ashamed
Attractive
Average
Awful
Bad
Beautiful
Better
Bewildered
Black
Bloody
Blue
Blue-Eyed
Blushing
Bored
Brainy
Brave
Breakable
Bright
Busy
Calm
Careful
Cautious
Charming
Cheerful
Clean
Clear
Clever
Cloudy
Clumsy
Colorful
Combative
Comfortable
Concerned
Condemned
Confused
Cooperative
Courageous
Crazy
Creepy
Crowded
Cruel
Curious
Cute
Dangerous
Dark
Dead
Defeated
Defiant
Delightful
Depressed
Determined
Different
Difficult
Disgusted
Distinct
Disturbed
Dizzy
Doubtful
Drab
Dull
Eager
Easy
Elated
Elegant
Embarrassed
Enchanting
Encouraging
Energetic
Enthusiastic
Envious
Evil
Excited
Expensive
Exuberant
Fair
Faithful
Famous
Fancy
Fantastic
Fierce
Filthy
Fine
Foolish
Fragile
Frail
Frantic
Friendly
Frightened
Funny
Gentle
Gifted
Glamorous
Gleaming
Glorious
Good
Gorgeous
Graceful
Grieving
Grotesque
Grumpy
Handsome
Happy
Healthy
Helpful
Helpless
Hilarious
Homeless
Homely
Horrible
Hungry
Hurt
Ill
Important
Impossible
Inexpensive
Innocent
Inquisitive
Itchy
Jealous
Jittery
Jolly
Joyous
Kind
Talented
Tame
Tasty
Tender
Tense
Terrible
Thankful
Thoughtful
Thoughtless
Tired
Tough
Troubled
Ugliest
Ugly
Uninterested
Unsightly
Unusual
Upset
Uptight
Vast
Victorious
Vivacious
Wandering
Weary
Wicked
Wide-Eyed
Wild
Witty
Worried
Worrisome
Wrong
Zany
Zealous
